Viti Godina Year,"Muaji 
Mesec
Month","PERSHKRIMI I SEKTORIT
OPIS SEKTORA
SECTOR DESCRIPTION","Statusi i regjistrimit 
Status registracije Registration status",Komuna Opstina Municipality,"Nr Tatimp 
Poreski obveznik 
Number of Taxpayers","Nr Puns
Broj zaposlenih 
Number of  employees",Primar Primarna Primary,Sekondar Sekundarna Secondary,"Meshkuj
Muskarci 
Men (M).","Femra
Zenske
Women (F)","Pa Verif 
Neprovereno 
Unverified",M 15-24,F 15-24,M 25-34,F 25-34,M 35-44,F 35-44,M 45-54,F 45-54,M 55-64,F 55-64,M 65+,F 65+,"Mesat. Pages
Prosecna plata
Average Wage","Mesat. Meshk 
Prosecni M.
Average M.","Mesat. Fem.
Prosecni F. Average F."
2019,2,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,KAÇANIK,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170,170,
2019,3,Arsimi,Projekt,PRISHTINË,1,7,6,1,4,3,0,0,1,0,1,3,0,1,1,0,0,0,0,1370.2,1702.61,926.98
2019,3,Ndertimtaria,SH.P.K.,DEÇAN,10,122,113,9,100,22,0,20,1,34,6,29,8,13,4,4,3,0,0,435,450.79,363.27
2019,3,Ndertimtaria,Individual,HANI I ELEZIT,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,130,130,
2019,3,Person Fizik,Person fizik,MITROVICË VERIORE,4,12,11,1,10,2,0,1,0,1,1,4,1,1,0,3,0,0,0,529.91,376.04,1299.22
2019,3,Industria nxjerrese,SH.P.K.,FUSHË KOSOVË,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,233.92,233.92,
2019,3,Industria perpunuese,Shoqëri akcionare,ISTOG,2,17,17,0,15,2,0,5,0,8,1,1,1,1,0,0,0,0,0,890.09,938.2,529.25
2019,3,Industria perpunuese,SH.P.K.,GJILAN,103,1460,"1,426",34,1189,265,6,145,33,416,108,264,59,216,55,144,10,4,0,333.11,346.03,276.75
2019,3,Industria perpunuese,Ortakëria e përgj.,LIPJAN,1,14,13,1,14,0,0,0,0,3,0,2,0,6,0,3,0,0,0,235.71,235.71,
2019,3,Industria perpunuese,Ortakëria e përgj.,PRISHTINË,11,87,86,1,45,40,2,8,13,16,10,14,10,7,7,0,0,0,0,315.83,341.97,290.92
2019,3,Industria perpunuese,Ortakëria e përgj.,FUSHË KOSOVË,1,4,4,0,3,1,0,0,0,1,0,2,0,0,1,0,0,0,0,225,216.67,250
2019,3,Informimi dhe komunikimi,Ortakëria e përgj.,MALISHEVË,1,3,2,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,152.32,143.48,170
2019,3,Informimi dhe komunikimi,Ortakëria e përgj.,PRISHTINË,4,55,55,0,39,16,0,4,3,20,6,9,3,5,4,1,0,0,0,408.81,438.95,335.34
2019,3,Akomodimi dhe sherbimi ushqimor,SH.P.K.,MALISHEVË,5,15,15,0,12,3,0,4,0,6,2,2,0,0,1,0,0,0,0,194.38,193.81,196.67
2019,3,Akomodimi dhe sherbimi ushqimor,SH.P.K.,FUSHË KOSOVË,33,127,123,4,100,25,2,24,7,47,7,18,7,9,3,2,1,0,0,271.11,261,307.23
2019,3,Aktivitetet financiare dhe te sigurimit,Individual,VITI,4,8,7,1,8,0,0,4,0,3,0,0,0,1,0,0,0,0,0,196.25,196.25,
2019,3,"Aktivitetet profesionale, shkencore dhe teknike",Individual,LEPOSAVIQ,1,3,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,200,200,
2019,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SHTIME,3,14,13,1,3,9,2,0,3,1,4,0,2,2,0,0,0,0,0,312.14,273.33,305.56
2019,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,Kompani e huaj,PRIZREN,1,38,30,8,19,17,2,1,3,4,5,3,6,3,3,5,0,3,0,435.55,503.73,357.03
2019,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRISHTINË,199,647,534,113,167,471,9,18,87,52,147,37,102,26,76,20,52,14,7,352.47,557.76,276.93
2019,3,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,SUHAREKË,1,4,3,1,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,204.68,,204.68
2019,3,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FERIZAJ,4,46,42,4,43,3,0,9,0,13,1,14,1,5,1,2,0,0,0,622.72,635.98,432.72
2019,4,Arsimi,Individual,PEJË,20,83,75,8,30,53,0,1,5,9,13,2,14,6,12,11,9,1,0,197.8,184.67,205.23
2019,4,Ndertimtaria,Ndërmarrje shoq.,PRISHTINË,2,3,3,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,368.25,371.43,361.9
2019,4,Person Fizik,Person fizik,VITI,30,207,199,8,126,81,0,28,25,46,29,23,17,21,7,8,3,0,0,252.04,244.47,263.81
2019,4,Person Fizik,Person fizik,ISTOG,16,81,74,7,57,24,0,10,5,20,7,16,8,5,2,6,2,0,0,241.68,249.1,224.37
2019,4,Person Fizik,Person fizik,ZUBIN POTOK,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,,1000
2019,4,Mungon aktiviteti,OJQ,MITROVICË VERIORE,6,43,36,7,24,17,2,6,5,7,5,7,3,2,4,2,0,0,0,464.58,476.34,433.75
2019,4,Industria perpunuese,Individual,PARTESH,5,16,16,0,13,3,0,2,0,2,3,7,0,2,0,0,0,0,0,201.25,198.46,213.33
2019,4,Transporti dhe magazinimi,Individual,GJILAN,21,80,78,2,72,7,1,8,1,13,3,17,3,20,0,13,0,1,0,183.16,184.23,155.71
2019,4,Transporti dhe magazinimi,SH.P.K.,MALISHEVË,1,2,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,400,400,
2019,4,Aktivitetet e patundshmerise,Individual,VUSHTRRI,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,200,,200
2019,4,Aktivitetet e tjera sherbyese, Bashkësi Fetare,DEÇAN,1,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,246.75,246.75,
2019,4,Akomodimi dhe sherbimi ushqimor,Individual,VITI,25,77,76,1,60,13,4,14,1,31,5,10,2,4,5,1,0,0,0,195.71,172.75,208.08
2019,4,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,8,61,61,0,40,21,0,17,2,15,7,5,7,3,5,0,0,0,0,242.72,233.15,260.95
2019,4,"Artet, Argetimi dhe rekreacioni",Individual,KLINË,1,12,12,0,8,4,0,0,0,1,0,3,1,3,2,1,1,0,0,295.54,343.31,200
2019,4,Aktivitetet financiare dhe te sigurimit,OJQ,PEJË,2,217,215,2,155,62,0,11,6,81,44,40,5,18,4,5,2,0,1,858.56,920.42,704.88
2019,4,Aktivitetet financiare dhe te sigurimit,Individual,PEJË,3,3,3,0,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,232.72,185,328.15
2019,4,Aktivitetet financiare dhe te sigurimit,OJQ,KLINË,1,8,8,0,3,5,0,0,1,1,1,1,1,1,1,0,1,0,0,315.39,466.67,224.62
2019,4,Aktivitetet financiare dhe te sigurimit,Individual,RAHOVEC,2,4,4,0,2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,203.94,207.88,200
2019,4,Sherbimet administrative dhe mbeshtetese,Shoqëri akcionare,PEJË,1,39,36,3,31,8,0,1,0,2,2,4,2,11,1,13,3,0,0,261.92,262.26,260.63
2019,4,"Aktivitetet profesionale, shkencore dhe teknike",Individual,OBILIQ,3,5,5,0,4,1,0,0,0,3,1,1,0,0,0,0,0,0,0,189.63,199.54,150
2019,4,"Aktivitetet profesionale, shkencore dhe teknike", Konsorcium,MITROVICË,1,6,5,1,4,1,1,0,1,1,0,3,0,0,0,0,0,0,0,1704,853,170
2019,4,Aktivitetet e shendetit te njeriut dhe te punes sociale,Organizata Buxhetore,KAMENICË,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,314.22,314.22,
2019,4,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FUSHË KOSOVË,12,18,17,1,7,11,0,2,4,2,5,2,1,1,1,0,0,0,0,186.93,172.26,196.27
2019,4,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,KAÇANIK,1,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,282.5,282.5,
2019,4,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PRISHTINË,42,2737,"2,718",19,2608,125,4,225,30,496,45,637,35,758,9,486,6,6,0,285.24,280.76,379.34
2019,4,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Sindikatat,PRISHTINË,2,4,3,1,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,292.04,280,304.08
2019,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJAKOVË,85,781,757,24,444,335,2,82,74,157,134,83,71,65,35,50,21,7,0,352,358.4,342.98
2019,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FUSHË KOSOVË,192,2511,"2,470",41,1910,580,21,455,154,676,234,399,108,268,61,104,22,8,1,406.39,418.02,355.6
2019,4,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,FERIZAJ,3,449,446,3,397,52,0,10,1,75,25,96,8,130,11,86,7,0,0,413.66,416.86,389.23
2019,4,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJAKOVË,2,8,8,0,6,2,0,3,0,3,0,0,2,0,0,0,0,0,0,148.75,141.67,170
2019,1,Arsimi,OJQ,GJAKOVË,2,47,47,0,14,32,1,1,8,1,11,4,7,3,3,5,3,0,0,228.39,246.88,209.97
2019,1,Ndertimtaria,SH.P.K.,VITI,13,27,25,2,26,1,0,4,1,15,0,3,0,3,0,1,0,0,0,259.76,263.56,160.97
2019,1,Ndertimtaria,SH.P.K.,GJAKOVË,43,242,219,23,192,49,1,25,14,59,12,35,7,42,14,29,2,2,0,340.77,351.06,307.72
2019,1,Ndertimtaria,Shoqëri akcionare,VUSHTRRI,1,7,6,1,3,4,0,0,0,3,2,0,0,0,1,0,1,0,0,513.83,366.97,623.97
2019,1,Person Fizik,Person fizik,SHTËRPCË,4,6,6,0,4,2,0,0,0,1,0,2,2,1,0,0,0,0,0,372.5,473.75,170
2019,1,Informimi dhe komunikimi,SH.P.K.,LIPJAN,4,26,25,1,18,8,0,7,2,6,4,1,0,4,2,0,0,0,0,397.74,442.22,297.65
2019,1,Informimi dhe komunikimi,SH.P.K.,SHTIME,4,19,15,4,12,7,0,3,1,4,6,3,0,1,0,1,0,0,0,296.24,282.23,320.27
2019,1,Informimi dhe komunikimi,Ortakëria e përgj.,FUSHË KOSOVË,1,10,10,0,6,4,0,3,0,3,0,0,4,0,0,0,0,0,0,415,441.67,375
2019,1,Transporti dhe magazinimi,Ortakëria e përgj.,PRIZREN,2,4,4,0,4,0,0,0,0,1,0,1,0,1,0,1,0,0,0,177.5,177.5,
2019,1,Transporti dhe magazinimi,Individual,SUHAREKË,30,91,88,3,78,13,0,10,1,29,4,17,4,16,3,6,1,0,0,216.34,218.93,200.84
2019,1,Transporti dhe magazinimi,Individual,SKENDERAJ,8,36,34,2,35,1,0,2,0,12,0,5,1,10,0,6,0,0,0,223.33,221.14,300
2019,1,"Artet, Argetimi dhe rekreacioni",Zyrë ndërlidhëse,GJAKOVË,1,7,7,0,6,0,1,0,0,2,0,3,0,0,0,1,0,0,0,344.84,357.16,
2019,1,"Artet, Argetimi dhe rekreacioni",Individual,KAÇANIK,1,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,193,193,
2019,1,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,LEPOSAVIQ,2,8,8,0,4,4,0,0,0,1,2,1,0,1,1,1,1,0,0,190,210,170
2019,1,Aktivitetet financiare dhe te sigurimit,SH.P.K.,SUHAREKË,2,75,73,2,27,48,0,6,14,18,20,1,7,0,6,2,1,0,0,340.21,445.86,280.77
2019,1,Sherbimet administrative dhe mbeshtetese,Individual,DEÇAN,3,5,3,2,1,4,0,0,0,1,3,0,1,0,0,0,0,0,0,164,120,175
2019,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRIZREN,104,233,199,34,68,165,0,3,15,31,60,15,47,8,29,9,12,2,2,222.53,252.68,210.03
2019,1,Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GRAÇANICË,9,344,253,91,143,184,17,7,33,31,75,47,43,26,20,19,11,13,2,918.28,1040.81,521.29
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,SUHAREKË,1,7,7,0,6,1,0,0,0,0,0,1,1,3,0,2,0,0,0,262.86,266.67,240
2019,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PEJË,375,912,889,23,490,421,1,62,62,188,129,134,110,63,82,41,36,2,2,232.01,243.71,218.16
2019,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,DEÇAN,1,5,5,0,4,1,0,0,0,3,1,1,0,0,0,0,0,0,0,292,302.5,250
2019,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SKENDERAJ,25,328,319,9,237,90,1,60,24,85,39,54,18,29,9,8,0,1,0,338.1,352.37,297.05
2019,1,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,VITI,2,6,6,0,5,1,0,0,0,3,0,1,1,1,0,0,0,0,0,254,267.5,200
2019,1,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,RAHOVEC,2,11,11,0,10,1,0,1,0,2,1,5,0,1,0,1,0,0,0,231.82,235,200
2019,1,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,PODUJEVË,2,3,3,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,180,180,
2019,2,Arsimi,Ortakëria e përgj.,FERIZAJ,1,117,87,30,57,55,5,3,15,16,20,19,11,13,6,5,3,1,0,377.62,412.54,313.95
2019,2,Ndertimtaria,Ortakëria e përgj.,PRISHTINË,6,1190,"1,187",3,700,55,435,74,8,220,18,198,17,165,10,41,2,2,0,1135.37,563.32,591.11
2019,2,Person Fizik,Person fizik,VITI,33,208,200,8,134,74,0,26,19,54,30,21,14,23,7,10,4,0,0,259.5,248.45,279.51
2019,2,Person Fizik,Person fizik,GJILAN,119,576,560,16,421,152,3,57,26,161,60,84,33,80,29,37,3,2,1,240.67,245.39,229.7
2019,2,Mungon aktiviteti,OJQ,PARTESH,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
2019,2,Industria nxjerrese,SH.P.K.,GLLOGOC,5,949,946,3,918,27,4,22,3,154,8,177,9,197,3,367,4,1,0,582.31,545.4,690.25
2019,2,Industria nxjerrese,Shoqëri akcionare,PRISHTINË,2,6,5,1,4,1,1,0,0,2,0,0,0,1,1,1,0,0,0,1726.17,1457.77,106.14
2019,2,Industria perpunuese,Individual,SKENDERAJ,27,85,85,0,57,28,0,8,4,23,5,21,12,4,6,1,1,0,0,192.78,194.11,190.06
2019,2,Industria perpunuese,Ortakëria e përgj.,FUSHË KOSOVË,2,6,6,0,6,0,0,0,0,4,0,2,0,0,0,0,0,0,0,208.33,208.33,
2019,2,Informimi dhe komunikimi,Individual,FERIZAJ,5,13,13,0,12,1,0,2,0,5,0,4,1,1,0,0,0,0,0,247.04,253.47,170
2019,2,Transporti dhe magazinimi,Shoqëri akcionare,MALISHEVË,1,8,8,0,8,0,0,0,0,0,0,1,0,5,0,2,0,0,0,413.13,413.13,
2019,2,Transporti dhe magazinimi,Ortakëri e kufizuar,PRISHTINË,1,7,7,0,5,2,0,0,0,0,0,1,1,3,0,1,1,0,0,411.71,432.6,359.5
2019,2,Aktivitetet e tjera sherbyese, Bashkësi Fetare,KLINË,1,4,4,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,212.5,212.5,
2019,2,Aktivitetet e tjera sherbyese,Parti Politike,PRIZREN,3,13,13,0,12,1,0,0,0,1,0,4,1,4,0,2,0,1,0,229.35,232.3,193.86
2019,2,Aktivitetet e tjera sherbyese,OJQ,PODUJEVË,6,11,8,3,7,4,0,0,0,2,2,3,1,1,1,1,0,0,0,378.43,392.24,346.19
2019,2,Aktivitetet e tjera sherbyese,SH.P.K.,FUSHË KOSOVË,5,9,9,0,1,7,1,1,3,0,3,0,1,0,0,0,0,0,0,178.89,180,180
2019,2,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PEJË,35,216,211,5,163,49,4,55,7,66,14,23,19,12,7,7,2,0,0,300.03,308.81,281.44
2019,2,Akomodimi dhe sherbimi ushqimor,SH.P.K.,SUHAREKË,7,41,40,1,28,13,0,1,0,13,5,6,5,7,2,1,1,0,0,268.94,280.21,244.67
2019,2,"Artet, Argetimi dhe rekreacioni",SH.P.K.,FERIZAJ,7,26,21,5,24,0,2,5,0,10,0,3,0,3,0,2,0,1,0,206.74,192.71,
2019,2,"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,PRISHTINË,1,12,9,3,11,1,0,0,0,0,1,4,0,2,0,5,0,0,0,378.75,334.15,869.4
2019,2,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MITROVICË,3,10,9,1,5,5,0,0,1,1,2,4,2,0,0,0,0,0,0,266.22,245.35,287.08
2019,2,Aktivitetet financiare dhe te sigurimit,SH.P.K.,PEJË,3,5,5,0,2,3,0,0,0,1,2,0,0,1,1,0,0,0,0,185,170,200
