Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PARTESH,182.86,170.0
Transporti dhe magazinimi,Individual,NOVOBËRDË,200.0,200.0
Transporti dhe magazinimi,Ortakëria e përgj.,PRISHTINË,215.99,331.44
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Projekt,PRISHTINË,835.81,662.64
Sherbimet administrative dhe mbeshtetese,SH.P.K.,GJAKOVË,498.45,325.54
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje pub.,PRIZREN,257.22,257.22
Industria nxjerrese,SH.P.K.,PRIZREN,404.13,326.21
Aktivitetet e patundshmerise,Individual,PEJË,200.0,170.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GRAÇANICË,816.19,507.12
Industria nxjerrese,SH.P.K.,SHTIME,429.88,446.7
"Aktivitetet profesionale, shkencore dhe teknike",Individual,VUSHTRRI,231.82,243.24
Akomodimi dhe sherbimi ushqimor,Individual,DRAGASH,208.27,197.14
Transporti dhe magazinimi,SH.P.K.,VITI,248.58,243.23
Akomodimi dhe sherbimi ushqimor,Individual,DEÇAN,180.79,182.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,FERIZAJ,220.78,227.33
"Artet, Argetimi dhe rekreacioni",SH.P.K.,KLINË,170.0,170.0
Person Fizik,Person fizik,MALISHEVË,250.25,239.78
Akomodimi dhe sherbimi ushqimor,Individual,MALISHEVË,195.85,174.62
Akomodimi dhe sherbimi ushqimor,Individual,SKENDERAJ,202.68,193.7
Ndertimtaria,Individual,FERIZAJ,250.75,226.01
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,FUSHË KOSOVË,296.39,328.15
Akomodimi dhe sherbimi ushqimor,Individual,MAMUSHË,195.0,200.0
Ndertimtaria,Kompani e huaj,PRISHTINË,693.74,499.52
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FERIZAJ,337.75,456.35
Transporti dhe magazinimi,SH.P.K.,GJILAN,227.99,235.63
Ndertimtaria,Individual,MITROVICË,290.6,306.12
Mungon aktiviteti,OJQ,GJAKOVË,765.0,654.72
Transporti dhe magazinimi,SH.P.K.,OBILIQ,200.0,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,ISTOG,447.16,342.75
Informimi dhe komunikimi,Ortakëria e përgj.,PRISHTINË,566.58,501.51
Aktivitetet e tjera sherbyese,Individual,PRIZREN,202.29,215.67
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KLINË,364.19,250.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,NOVOBËRDË,168.57,235.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,DEÇAN,418.87,370.0
"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,FERIZAJ,442.56,442.56
Industria perpunuese,Individual,MITROVICË,276.26,234.31
Akomodimi dhe sherbimi ushqimor,Individual,VITI,173.19,183.71
Bujqesia;Pylltaria dhe Peshkimi,Individual,VUSHTRRI,177.5,179.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PEJË,757.86,548.43
Mungon aktiviteti,OJQ,DRAGASH,193.09,267.74
Ndertimtaria,Kompani e huaj,PODUJEVË,350.0,300.0
Aktivitetet e tjera sherbyese,OJQ,GLLOGOC,377.55,340.09
Ndertimtaria,Individual,PODUJEVË,248.49,208.21
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PODUJEVË,248.96,319.07
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,SKENDERAJ,281.37,216.32
Sherbimet administrative dhe mbeshtetese,Individual,PRISHTINË,449.21,459.99
Mungon aktiviteti,OJQ,RAHOVEC,789.66,260.42
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MITROVICË,396.73,266.39
Transporti dhe magazinimi,SH.P.K.,PRIZREN,310.23,274.6
Aktivitetet e tjera sherbyese,OJQ,MITROVICË,734.25,524.8
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,KLINË,175.0,177.06
Akomodimi dhe sherbimi ushqimor,Individual,ZUBIN POTOK,75.0,75.0
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,187.35,215.65
Person Fizik,Person fizik,KLLOKOT,187.5,222.5
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PODUJEVË,238.55,228.58
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,GJAKOVË,562.19,568.28
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GLLOGOC,225.54,236.18
Ndertimtaria,SH.P.K.,RAHOVEC,396.7,475.15
Informimi dhe komunikimi,Individual,GJILAN,174.44,282.78
Arsimi,Individual,GJAKOVË,199.33,203.21
Sherbimet administrative dhe mbeshtetese,Individual,GJAKOVË,252.04,202.81
Person Fizik,Person fizik,GRAÇANICË,436.2,342.97
Aktivitetet e tjera sherbyese,Individual,ISTOG,284.42,237.72
Arsimi,Individual,LIPJAN,166.0,188.57
Aktivitetet e tjera sherbyese, Bashkësi Fetare,RAHOVEC,584.98,120.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,238.65,260.95
Industria perpunuese,SH.P.K.,JUNIK,661.54,385.36
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GJILAN,581.36,470.85
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,GRAÇANICË,821.99,454.35
Arsimi,Individual,RAHOVEC,152.0,180.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ZUBIN POTOK,200.82,260.85
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GJILAN,407.31,459.69
Person Fizik,Person fizik,MAMUSHË,318.33,320.64
Arsimi,Individual,PARTESH,130.0,170.0
Person Fizik,Person fizik,KLLOKOT,281.67,265.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,NOVOBËRDË,188.8,180.0
Transporti dhe magazinimi,Individual,PRIZREN,245.8,215.91
Sherbimet administrative dhe mbeshtetese,Individual,GJILAN,292.29,202.81
Informimi dhe komunikimi,Individual,SKENDERAJ,202.73,200.0
Transporti dhe magazinimi,Individual,SHTËRPCË,170.0,235.0
Informimi dhe komunikimi,Individual,GJILAN,193.63,270.54
Arsimi,OJQ,FERIZAJ,236.67,160.0
Industria perpunuese,SH.P.K.,KLINË,371.75,315.13
Mungon aktiviteti,SH.P.K.,SHTËRPCË,300.0,300.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GLLOGOC,413.42,375.65
"Artet, Argetimi dhe rekreacioni",Individual,MALISHEVË,229.69,200.0
Industria nxjerrese,SH.P.K.,SKENDERAJ,491.4,281.31
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,ISTOG,442.02,424.34
Sherbimet administrative dhe mbeshtetese,Individual,GLLOGOC,237.0,249.23
"Artet, Argetimi dhe rekreacioni",Individual,PEJË,232.5,190.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,VITI,232.42,204.33
Sherbimet administrative dhe mbeshtetese,SH.P.K.,VUSHTRRI,353.97,363.63
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,DEÇAN,466.87,283.33
Aktivitetet e tjera sherbyese,Individual,FUSHË KOSOVË,235.98,200.4
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,JUNIK,275.93,244.55
Ndertimtaria,Individual,PRIZREN,258.62,256.37
Bujqesia;Pylltaria dhe Peshkimi,Individual,VUSHTRRI,188.57,178.24
Aktivitetet financiare dhe te sigurimit,Individual,KLINË,371.28,300.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,KLINË,330.21,210.91
"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,OBILIQ,200.0,200.0
Industria perpunuese,SH.P.K.,LEPOSAVIQ,204.29,200.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,OJQ,GJAKOVË,411.98,586.62
Sherbimet administrative dhe mbeshtetese,SH.P.K.,FUSHË KOSOVË,419.6,643.08
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,336.39,278.49
Aktivitetet e tjera sherbyese,SH.P.K.,RAHOVEC,386.92,171.93
Person Fizik,Person fizik,ISTOG,439.22,300.0
Informimi dhe komunikimi,SH.P.K.,SKENDERAJ,644.91,428.14
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FERIZAJ,584.69,527.39
Mungon aktiviteti,OJQ,ZVEÇAN,179.37,247.07
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GRAÇANICË,440.26,538.01
Person Fizik,Person fizik,SUHAREKË,359.19,304.8
Mungon aktiviteti,Parti Politike,PRIZREN,383.92,270.95
Industria perpunuese,Ortakëria e përgj.,VUSHTRRI,238.62,215.79
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PEJË,443.88,409.97
Sherbimet administrative dhe mbeshtetese,SH.P.K.,RAHOVEC,247.98,269.54
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,FERIZAJ,364.26,354.88
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,ZVEÇAN,200.0,150.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MITROVICË,270.94,180.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,FERIZAJ,475.45,200.0
Arsimi,Individual,FUSHË KOSOVË,269.57,266.14
Sherbimet administrative dhe mbeshtetese,Kompani e huaj,ISTOG,794.84,371.93
Industria perpunuese,Ortakëria e përgj.,FERIZAJ,231.54,275.0
"Artet, Argetimi dhe rekreacioni",Individual,KAÇANIK,200.0,215.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,SUHAREKË,248.57,190.0
Arsimi,Individual,MALISHEVË,218.51,246.28
Mungon aktiviteti,Organizata Buxhetore,GJILAN,371.37,340.1
Industria perpunuese,Kompani e huaj,PRISHTINË,443.44,425.0
Sherbimet administrative dhe mbeshtetese,Individual,DRAGASH,190.0,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Organizata Buxhetore,PRIZREN,176.0,582.0
Transporti dhe magazinimi,Individual,SHTËRPCË,170.0,205.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,ZVEÇAN,278.68,193.16
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,DRAGASH,333.33,375.18
Industria perpunuese,Ortakëria e përgj.,PODUJEVË,200.0,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,DEÇAN,292.94,325.61
Aktivitetet e tjera sherbyese,SH.P.K.,GJAKOVË,370.14,322.98
Transporti dhe magazinimi,SH.P.K.,SHTIME,238.71,192.9
Akomodimi dhe sherbimi ushqimor,SH.P.K.,DRAGASH,402.19,371.27
"Aktivitetet profesionale, shkencore dhe teknike",Individual,ISTOG,152.79,182.0
Akomodimi dhe sherbimi ushqimor,Individual,KAÇANIK,194.68,190.74
Bujqesia;Pylltaria dhe Peshkimi,Individual,PEJË,334.0,238.18
Mungon aktiviteti,OJQ,VUSHTRRI,269.18,424.7
Industria perpunuese,Individual,GRAÇANICË,388.83,237.5
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KLLOKOT,200.0,380.0
Arsimi,Individual,PEJË,172.26,207.68
Ndertimtaria,Individual,FUSHË KOSOVË,282.79,329.2
Sherbimet administrative dhe mbeshtetese,Individual,DEÇAN,120.0,207.5
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,RAHOVEC,283.59,250.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,HANI I ELEZIT,304.89,144.47
Industria perpunuese,SH.P.K.,DRAGASH,445.32,293.55
Person Fizik,Person fizik,KLLOKOT,172.4,183.33
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,RANILLUG,135.0,170.0
Industria nxjerrese,Individual,OBILIQ,200.0,200.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,VITI,298.29,181.07
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FUSHË KOSOVË,464.36,376.68
Transporti dhe magazinimi,SH.P.K.,DEÇAN,244.29,274.54
Informimi dhe komunikimi,Individual,MALISHEVË,294.1,216.67
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PODUJEVË,266.73,242.63
Sherbimet administrative dhe mbeshtetese,Individual,SKENDERAJ,178.57,256.67
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRISHTINË,490.37,395.46
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,PRISHTINË,200.0,200.0
Aktivitetet financiare dhe te sigurimit,Individual,PEJË,185.0,200.0
Ndertimtaria,SH.P.K.,PODUJEVË,290.17,296.35
Industria perpunuese,Individual,GJILAN,243.5,230.24
Aktivitetet financiare dhe te sigurimit,Shoqëri akcionare,GRAÇANICË,634.59,332.38
Transporti dhe magazinimi,Ortakëri e kufizuar,PRISHTINË,432.6,359.5
Arsimi,Individual,PODUJEVË,210.11,177.54
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,262.53,212.34
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,MITROVICË,382.76,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SUHAREKË,456.27,367.98
Arsimi,Individual,SHTIME,148.89,146.25
Industria perpunuese,SH.P.K.,SHTËRPCË,189.46,193.33
Sherbimet administrative dhe mbeshtetese,Individual,DRAGASH,232.0,275.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,DEÇAN,442.94,390.91
Informimi dhe komunikimi,Ortakëria e përgj.,FERIZAJ,376.61,544.0
Ndertimtaria,Individual,JUNIK,221.43,200.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,PODUJEVË,209.92,192.86
Akomodimi dhe sherbimi ushqimor,SH.P.K.,MAMUSHË,226.67,200.0
Mungon aktiviteti,OJQ,MALISHEVË,272.1,316.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,GLLOGOC,215.8,215.8
Mungon aktiviteti,OJQ,KAMENICË,311.87,362.91
Industria nxjerrese,Individual,DEÇAN,200.0,200.0
Industria nxjerrese,SH.P.K.,RAHOVEC,303.39,366.67
Industria nxjerrese,SH.P.K.,KAÇANIK,441.26,180.04
Arsimi,Individual,GRAÇANICË,103.61,58.48
Aktivitetet e patundshmerise,Ndërmarrje pub.,MITROVICË,143.77,262.24
Industria perpunuese,SH.P.K.,MALISHEVË,331.48,285.0
Person Fizik,Person fizik,HANI I ELEZIT,407.44,343.53
Sherbimet administrative dhe mbeshtetese,SH.P.K.,SHTËRPCË,241.67,270.0
Ndertimtaria,Shoqëri akcionare,GJAKOVË,212.67,271.43
Aktivitetet e patundshmerise,Individual,PRISHTINË,650.53,305.48
Aktivitetet e tjera sherbyese, Bashkësi Fetare,LIPJAN,498.87,269.75
Transporti dhe magazinimi,SH.P.K.,SHTIME,237.58,192.9
Industria perpunuese,SH.P.K.,GRAÇANICË,692.74,411.53
Aktivitetet e patundshmerise,OJQ,PRISHTINË,387.74,431.55
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,KLINË,276.76,289.02
Aktivitetet e tjera sherbyese,OJQ,KAMENICË,281.43,297.06
Transporti dhe magazinimi,Individual,LIPJAN,239.33,249.63
"Artet, Argetimi dhe rekreacioni",SH.P.K.,SUHAREKË,783.85,289.08
Transporti dhe magazinimi,Individual,VUSHTRRI,206.85,215.85
Sherbimet administrative dhe mbeshtetese,Individual,FERIZAJ,213.91,221.8
Industria perpunuese,SH.P.K.,KLLOKOT,473.9,319.43
Industria perpunuese,Individual,SHTËRPCË,181.67,170.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SUHAREKË,300.76,279.6
Ndertimtaria,SH.P.K.,MITROVICË VERIORE,311.57,342.94
Sherbimet administrative dhe mbeshtetese,Individual,KAMENICË,175.0,185.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,GRAÇANICË,821.99,421.54
Arsimi,SH.P.K.,GJAKOVË,252.73,189.67
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DRAGASH,276.05,278.54
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,GRAÇANICË,321.23,385.36
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,VITI,125.45,223.49
Informimi dhe komunikimi,Individual,MALISHEVË,257.4,170.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,LIPJAN,205.0,212.79
Person Fizik,Person fizik,ISTOG,234.42,225.35
"Artet, Argetimi dhe rekreacioni",Individual,OBILIQ,286.76,294.0
Mungon aktiviteti,OJQ,ISTOG,90.66,220.0
Sherbimet administrative dhe mbeshtetese,Individual,KAÇANIK,223.33,170.0
Aktivitetet e tjera sherbyese,OJQ,PEJË,696.68,400.61
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PARTESH,213.33,170.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FERIZAJ,249.76,201.2
Informimi dhe komunikimi,Ortakëria e përgj.,FERIZAJ,351.57,544.0
Industria perpunuese,Individual,VITI,231.98,211.71
Aktivitetet e tjera sherbyese,Organizata Buxhetore,OBILIQ,145.82,156.89
Informimi dhe komunikimi,SH.P.K.,KLINË,200.0,175.0
Aktivitetet financiare dhe te sigurimit,OJQ,KLINË,304.68,340.87
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PEJË,325.82,245.21
"Artet, Argetimi dhe rekreacioni",SH.P.K.,FUSHË KOSOVË,330.05,249.96
Industria perpunuese,SH.P.K.,DEÇAN,435.32,248.99
Transporti dhe magazinimi,Individual,SHTËRPCË,170.0,236.67
Bujqesia;Pylltaria dhe Peshkimi,Individual,MITROVICË,212.5,180.0
Mungon aktiviteti, Bashkësi Fetare,GJILAN,421.56,240.0
Aktivitetet e tjera sherbyese,OJQ,DRAGASH,110.0,100.0
Aktivitetet financiare dhe te sigurimit,Individual,PRIZREN,206.56,253.16
"Artet, Argetimi dhe rekreacioni",SH.P.K.,DEÇAN,250.0,200.0
Aktivitetet e patundshmerise,Individual,PRISHTINË,678.11,318.4
Ndertimtaria,Individual,SHTIME,252.14,242.91
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,HANI I ELEZIT,259.19,234.78
Ndertimtaria,Individual,PRIZREN,305.67,262.12
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SUHAREKË,437.29,347.24
Person Fizik,Person fizik,VUSHTRRI,248.46,285.82
Ndertimtaria,Individual,FUSHË KOSOVË,274.96,328.53
Sherbimet administrative dhe mbeshtetese,SH.P.K.,KAMENICË,385.98,399.34
Aktivitetet financiare dhe te sigurimit,SH.P.K.,PODUJEVË,298.33,180.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJILAN,376.4,268.86
"Artet, Argetimi dhe rekreacioni",Individual,PEJË,221.11,316.25
Mungon aktiviteti,Parti Politike,MITROVICË VERIORE,400.3,328.15
Ndertimtaria,Individual,KAMENICË,193.22,192.76
Industria perpunuese,Ortakëria e përgj.,DEÇAN,228.0,200.0
Aktivitetet financiare dhe te sigurimit,SH.P.K.,PODUJEVË,246.67,170.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,HANI I ELEZIT,275.8,200.0
Industria perpunuese,Shoqëri akcionare,LIPJAN,617.16,486.64
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,GJAKOVË,461.88,596.59
Aktivitetet e patundshmerise,SH.P.K.,GJAKOVË,624.74,258.44
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,193.03,196.71
Ndertimtaria,SH.P.K.,LIPJAN,411.83,357.38
Aktivitetet e tjera sherbyese,SH.P.K.,GJAKOVË,293.69,278.89
"Artet, Argetimi dhe rekreacioni",SH.P.K.,VITI,314.19,247.13
Ndertimtaria,SH.P.K.,VITI,200.17,153.66
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Ndërmarrje shoq.,PRISHTINË,407.79,417.48
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GLLOGOC,363.55,309.08
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,FUSHË KOSOVË,238.55,258.49
"Artet, Argetimi dhe rekreacioni",Individual,PRIZREN,209.97,203.64
Aktivitetet e patundshmerise,SH.P.K.,FUSHË KOSOVË,390.71,503.11
Mungon aktiviteti, Bashkësi Fetare,MALISHEVË,300.0,250.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,GJAKOVË,185.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KLLOKOT,224.44,185.5
Ndertimtaria,Individual,DRAGASH,243.44,257.26
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,FUSHË KOSOVË,441.7,258.05
Aktivitetet financiare dhe te sigurimit,Individual,KAMENICË,500.0,170.0
Industria perpunuese,SH.P.K.,SHTIME,283.01,258.86
Aktivitetet e tjera sherbyese,SH.P.K.,KAÇANIK,150.0,170.0
Arsimi,Organizata Buxhetore,PRISHTINË,637.54,460.69
Ndertimtaria,SH.P.K.,KLLOKOT,202.52,350.0
Industria perpunuese,Individual,ISTOG,230.72,204.69
Ndertimtaria,Individual,DEÇAN,268.98,239.42
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,189.63,217.73
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,GRAÇANICË,691.15,400.26
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,DRAGASH,235.0,197.5
Transporti dhe magazinimi,SH.P.K.,FERIZAJ,336.3,285.32
"Artet, Argetimi dhe rekreacioni",SH.P.K.,FUSHË KOSOVË,303.8,240.55
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FUSHË KOSOVË,270.6,195.26
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,PRISHTINË,536.25,571.25
Transporti dhe magazinimi,Ortakëria e përgj.,PRISHTINË,210.89,331.44
"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,PRISHTINË,379.74,258.33
"Aktivitetet profesionale, shkencore dhe teknike",Individual,RAHOVEC,233.25,224.86
Arsimi,SH.P.K.,FERIZAJ,209.44,204.59
Bujqesia;Pylltaria dhe Peshkimi,Individual,DEÇAN,228.0,201.86
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,MITROVICË VERIORE,558.93,558.83
Ndertimtaria,SH.P.K.,DEÇAN,458.3,394.84
Ndertimtaria,Individual,LIPJAN,264.03,268.49
Industria perpunuese,SH.P.K.,GLLOGOC,476.75,343.91
Akomodimi dhe sherbimi ushqimor,Individual,VITI,169.8,187.63
Informimi dhe komunikimi,SH.P.K.,GJILAN,387.3,371.11
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,466.42,460.77
Mungon aktiviteti,Organizata Buxhetore,VUSHTRRI,156.43,57.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SKENDERAJ,228.99,207.8
Mungon aktiviteti,SH.P.K.,GRAÇANICË,472.09,328.15
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,FUSHË KOSOVË,371.84,362.91
Industria nxjerrese,Individual,DEÇAN,225.0,200.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GLLOGOC,390.73,327.88
Ndertimtaria,SH.P.K.,GJILAN,342.55,303.55
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,JUNIK,218.78,193.1
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PODUJEVË,200.0,200.0
Ndertimtaria,SH.P.K.,LEPOSAVIQ,258.25,200.0
Aktivitetet e tjera sherbyese,Parti Politike,GRAÇANICË,394.63,324.02
Informimi dhe komunikimi,SH.P.K.,RAHOVEC,225.06,255.26
"Aktivitetet profesionale, shkencore dhe teknike",Organizata Buxhetore,GJAKOVË,81.67,249.73
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje shoq.,FERIZAJ,170.0,408.16
Mungon aktiviteti,OJQ,VITI,114.54,155.76
Akomodimi dhe sherbimi ushqimor,Individual,KAMENICË,236.02,230.65
Ndertimtaria,Kompani e huaj,SHTËRPCË,216.67,410.0
"Artet, Argetimi dhe rekreacioni",Individual,RAHOVEC,252.63,349.66
Transporti dhe magazinimi,Individual,RAHOVEC,203.89,150.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,DEÇAN,267.5,300.0
Mungon aktiviteti,Organizata Buxhetore,PEJË,45.0,97.5
Aktivitetet e tjera sherbyese,SH.P.K.,RAHOVEC,420.6,171.93
Industria perpunuese,Individual,PODUJEVË,212.14,201.2
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FERIZAJ,558.2,545.72
Informimi dhe komunikimi,SH.P.K.,PRIZREN,397.07,347.42
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KAMENICË,173.33,190.77
Aktivitetet e shendetit te njeriut dhe te punes sociale,OJQ,FERIZAJ,481.91,413.18
Industria nxjerrese,SH.P.K.,SHTIME,302.76,326.28
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLLOKOT,203.33,306.67
"Artet, Argetimi dhe rekreacioni",SH.P.K.,ISTOG,300.0,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,VITI,337.42,283.91
Akomodimi dhe sherbimi ushqimor,Individual,FUSHË KOSOVË,232.75,206.07
Mungon aktiviteti,Parti Politike,MITROVICË VERIORE,764.32,328.15
Sherbimet administrative dhe mbeshtetese,SH.P.K.,ISTOG,235.66,275.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MAMUSHË,282.96,200.0
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,339.48,290.25
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,LIPJAN,300.0,250.0
"Aktivitetet profesionale, shkencore dhe teknike",Organizata Buxhetore,GJAKOVË,75.0,78.75
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KLINË,364.19,300.0
Informimi dhe komunikimi,Individual,DRAGASH,333.62,233.33
Informimi dhe komunikimi,Individual,SKENDERAJ,200.0,193.33
